name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_CUDA_KdTreeFLANN_Search/10000/100000/1/2/2/iterations:10",10,3.62033,3.27009,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/100000/100000/1/2/2/iterations:10",10,3.87347,3.87007,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/1000000/100000/1/2/2/iterations:10",10,7.54059,7.46266,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/10000000/100000/1/2/2/iterations:10",10,10.1236,10.1176,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/10000/1000000/1/2/2/iterations:10",10,27.2982,27.2683,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/100000/1000000/1/2/2/iterations:10",10,37.1391,35.3783,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/1000000/1000000/1/2/2/iterations:10",10,73.5151,73.4556,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/10000000/1000000/1/2/2/iterations:10",10,101.095,101.017,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/10000/100000/1/2/4/iterations:10",10,3.06682,3.06292,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/100000/100000/1/2/4/iterations:10",10,3.18012,3.17713,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/1000000/100000/1/2/4/iterations:10",10,6.20313,6.19791,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/10000000/100000/1/2/4/iterations:10",10,8.9213,8.91586,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/10000/1000000/1/2/4/iterations:10",10,28.3991,28.3709,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/100000/1000000/1/2/4/iterations:10",10,28.9215,28.8947,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/1000000/1000000/1/2/4/iterations:10",10,60.9591,60.9178,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/10000000/1000000/1/2/4/iterations:10",10,88.3101,88.2603,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/10000/100000/1/2/8/iterations:10",10,2.96686,2.95929,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/100000/100000/1/2/8/iterations:10",10,2.80528,2.80038,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/1000000/100000/1/2/8/iterations:10",10,5.08213,5.07743,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/10000000/100000/1/2/8/iterations:10",10,7.79824,7.78992,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/10000/1000000/1/2/8/iterations:10",10,27.3472,27.3219,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/100000/1000000/1/2/8/iterations:10",10,26.3186,26.2955,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/1000000/1000000/1/2/8/iterations:10",10,49.4413,49.4057,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/10000000/1000000/1/2/8/iterations:10",10,76.8433,76.8031,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/10000/100000/1/2/16/iterations:10",10,2.69742,2.69502,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/100000/100000/1/2/16/iterations:10",10,2.74256,2.7403,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/1000000/100000/1/2/16/iterations:10",10,4.20682,4.20222,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/10000000/100000/1/2/16/iterations:10",10,6.90146,6.89529,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/10000/1000000/1/2/16/iterations:10",10,26.1478,26.1177,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/100000/1000000/1/2/16/iterations:10",10,26.0857,26.0618,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/1000000/1000000/1/2/16/iterations:10",10,40.7364,40.6972,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/10000000/1000000/1/2/16/iterations:10",10,68.3018,68.2439,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/10000/100000/1/2/32/iterations:10",10,2.54889,2.54665,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/100000/100000/1/2/32/iterations:10",10,2.59308,2.59042,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/1000000/100000/1/2/32/iterations:10",10,3.80323,3.79891,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/10000000/100000/1/2/32/iterations:10",10,6.38046,6.37263,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/10000/1000000/1/2/32/iterations:10",10,24.3257,24.3037,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/100000/1000000/1/2/32/iterations:10",10,24.5199,24.497,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/1000000/1000000/1/2/32/iterations:10",10,36.1199,36.0844,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/10000000/1000000/1/2/32/iterations:10",10,61.3787,61.332,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/10000/100000/1/2/64/iterations:10",10,2.4639,2.46172,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/100000/100000/1/2/64/iterations:10",10,2.6777,2.67519,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/1000000/100000/1/2/64/iterations:10",10,4.10363,4.09361,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/10000000/100000/1/2/64/iterations:10",10,6.44091,6.43378,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/10000/1000000/1/2/64/iterations:10",10,23.586,23.5616,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/100000/1000000/1/2/64/iterations:10",10,25.2808,25.2523,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/1000000/1000000/1/2/64/iterations:10",10,37.6122,37.5859,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/10000000/1000000/1/2/64/iterations:10",10,59.4864,59.4453,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/10000/100000/1/2/128/iterations:10",10,2.82929,2.82628,ms,,,,,
"BM_CUDA_KdTreeFLANN_Search/100000/100000/1/2/128/iterations:10",10,3.01956,3.01605,ms,,,,,
